"","lon","lat"
"463",-95.712891,37.09024
"464",-76.1474244,43.0481221
"465",-76.1474244,43.0481221
"466",-82.9987942,39.9611755
"467",-111.7609896,34.8697395
"468",-82.9987942,39.9611755
"469",-111.7609896,34.8697395
"470",-82.9987942,39.9611755
"471",-111.7609896,34.8697395
"472",-98.4936282,29.4241219
"473",-74.3821116,42.0092908
"474",-121.7816704,42.224867
"475",-74.790718,40.3284402
"476",-97.330053,37.6871761
"477",-82.9987942,39.9611755
"478",-111.7609896,34.8697395
"479",88.363895,22.572646
"480",4.8951679,52.3702157
"481",-118.4479352,34.0614851
"482",-87.9535534,41.8397865
"483",-118.4479352,34.0614851
"484",-74.0059728,40.7127753
"485",-87.9535534,41.8397865
"486",-118.4479352,34.0614851
"487",-74.0423387,40.2629012
"488",-122.3320708,47.6062095
"489",-87.9535534,41.8397865
"490",-118.4479352,34.0614851
"491",-87.9535534,41.8397865
"492",-118.4479352,34.0614851
"493",-90.0708249,32.2913927
"494",-86.7816016,36.1626638
"495",31.03351,-17.8251657
"496",31.03351,-17.8251657
"497",-74.0059728,40.7127753
"498",-88.7878678,43.7844397
"499",-74.0059728,40.7127753
"500",-79.0558445,35.9131996
"501",-74.0059728,40.7127753
"502",-79.0558445,35.9131996
"503",-74.0059728,40.7127753
"504",-122.4194155,37.7749295
"505",-84.3879824,33.7489954
"506",-74.0059728,40.7127753
"507",-85.7584557,38.2526647
"508",-74.0059728,40.7127753
"509",-74.0059728,40.7127753
"510",-95.712891,37.09024
"511",-73.9519951,40.7908768
"512",-74.0059728,40.7127753
"513",-74.307282,40.4128551
"514",-78.6568942,37.4315734
"515",-74.2401609,40.8298006
"516",-74.0059728,40.7127753
"517",-74.0059728,40.7127753
"518",-120.5542012,43.8041334
"519",-74.0059728,40.7127753
"520",-119.4179324,36.778261
"521",12.56738,41.87194
"522",-96.6851982,40.8257625
"523",-85.6680863,42.9633599
"524",-82.6402915,27.7676008
"525",-77.0368707,38.9071923
"526",39.8579118,21.3890824
"527",-95.712891,37.09024
"528",-95.971261,36.153315
"529",-87.8289548,42.1275267
"530",-95.971261,36.153315
"531",-87.8289548,42.1275267
"532",-122.3320708,47.6062095
"533",-95.971261,36.153315
"534",-87.8289548,42.1275267
"535",-95.971261,36.153315
"536",-87.8289548,42.1275267
"537",-85.6023643,44.3148443
"538",-71.0588801,42.3600825
"539",-85.6023643,44.3148443
"540",-71.0588801,42.3600825
"541",-106.6630437,35.2327544
"542",-85.6023643,44.3148443
"543",-71.0588801,42.3600825
"544",-70.8226541,43.9653889
"545",-118.2436849,34.0522342
"546",-81.3792365,28.5383355
"547",-82.4975395,34.6156001
"548",-76.8720961,38.7849211
"549",-85.6023643,44.3148443
"550",-71.0588801,42.3600825
"551",-77.8367282,40.8765649
"552",-1.1743197,52.3555177
"553",-85.6023643,44.3148443
"554",-71.0588801,42.3600825
"555",-85.6023643,44.3148443
"556",-71.0588801,42.3600825
"557",-73.7867622,43.0829448
"558",-84.3879824,33.7489954
"559",-77.0368707,38.9071923
"560",-74.0059728,40.7127753
"561",-75.1652215,39.9525839
"562",-95.0431148,40.7234534
